unique_top_cov	unique_bot_cov	redundant_top_cov	redundant_bot_cov	raw_redundant_top_cov	raw_redundant_bot_cov	e_value	position
148	140	0	0	0	0	26381.6	1
119	168	0	0	0	0	33351.3	2
136	171	0	0	0	0	28388.7	3
160	134	0	0	0	0	38455.7	4
145	148	0	0	0	0	23523.6	5
145	119	0	0	0	0	31078.1	6
153	154	0	0	0	0	29939.4	7
124	127	0	0	0	0	30774.5	8
141	149	0	0	0	0	25980.8	9
139	145	0	0	0	0	23939.3	10
145	158	0	0	0	0	38994.7	11
160	169	0	0	0	0	33010.2	12
145	161	0	0	0	0	34709.4	13
135	157	0	0	0	0	38327.2	14
141	168	0	0	0	0	38787.6	15
149	140	0	0	0	0	37855.6	16
155	186	0	0	0	0	33155.5	17
142	148	0	0	0	0	27995.9	18
167	148	0	0	0	0	27760.0	19
173	154	0	0	0	0	31967.4	20
144	123	0	0	0	0	35984.4	21
155	145	0	0	0	0	28149.1	22
163	153	0	0	0	0	20400.7	23
156	155	0	0	0	0	35930.7	24
135	158	0	0	0	0	21486.0	25
149	139	0	0	0	0	35288.8	26
175	134	0	0	0	0	20343.7	27
157	151	0	0	0	0	25511.2	28
155	140	0	0	0	0	38688.3	29
140	142	0	0	0	0	29857.1	30
154	172	0	0	0	0	32541.4	31
154	142	0	0	0	0	38112.3	32
146	151	0	0	0	0	31533.8	33
143	151	0	0	0	0	31222.4	34
169	161	0	0	0	0	32017.7	35
158	156	0	0	0	0	22699.6	36
149	171	0	0	0	0	32555.2	37
149	165	0	0	0	0	30635.1	38
153	188	0	0	0	0	33201.5	39
183	152	0	0	0	0	29308.4	40
169	174	0	0	0	0	33417.2	41
179	164	0	0	0	0	26151.0	42
149	152	0	0	0	0	31509.4	43
145	172	0	0	0	0	31644.8	44
152	163	0	0	0	0	23088.8	45
171	169	0	0	0	0	37144.8	46
170	137	0	0	0	0	29959.9	47
178	171	0	0	0	0	30714.0	48
178	128	0	0	0	0	30000.7	49
173	172	0	0	0	0	25546.2	50
172	149	0	0	0	0	39988.9	51
165	171	0	0	0	0	20711.4	52
147	151	0	0	0	0	24129.3	53
133	177	0	0	0	0	31953.1	54
154	140	0	0	0	0	26800.9	55
164	163	0	0	0	0	30928.7	56
152	164	0	0	0	0	37986.5	57
161	160	0	0	0	0	20234.1	58
142	152	0	0	0	0	26590.0	59
166	156	0	0	0	0	39668.9	60
150	148	0	0	0	0	21686.1	61
165	167	0	0	0	0	22049.7	62
158	160	0	0	0	0	26768.3	63
169	152	0	0	0	0	27804.7	64
154	178	0	0	0	0	36143.2	65
162	163	0	0	0	0	35326.4	66
173	154	0	0	0	0	29320.9	67
171	176	0	0	0	0	24542.2	68
136	159	0	0	0	0	30349.0	69
