unique_top_cov	unique_bot_cov	redundant_top_cov	redundant_bot_cov	raw_redundant_top_cov	raw_redundant_bot_cov	e_value	position
16	11	0	0	0	0	30770.0	1
13	13	0	0	0	0	32568.4	2
12	18	0	0	0	0	24295.8	3
11	14	0	0	0	0	20259.9	4
14	12	0	0	0	0	28517.3	5
4	12	0	0	0	0	23630.9	6
6	15	0	0	0	0	24182.6	7
16	8	0	0	0	0	24639.8	8
6	15	0	0	0	0	34819.7	9
11	20	0	0	0	0	36624.3	10
24	14	0	0	0	0	34050.4	11
7	20	0	0	0	0	32557.0	12
14	15	0	0	0	0	33044.8	13
14	13	0	0	0	0	37379.1	14
13	10	0	0	0	0	23513.2	15
11	21	0	0	0	0	20464.3	16
14	16	0	0	0	0	39611.8	17
20	14	0	0	0	0	22790.4	18
5	15	0	0	0	0	38744.0	19
13	16	0	0	0	0	25055.0	20
12	14	0	0	0	0	27697.5	21
17	14	0	0	0	0	23554.6	22
10	15	0	0	0	0	32768.2	23
22	12	0	0	0	0	36456.3	24
15	8	0	0	0	0	37163.8	25
17	16	0	0	0	0	29224.1	26
17	13	0	0	0	0	25843.7	27
12	15	0	0	0	0	23375.4	28
19	9	0	0	0	0	28617.5	29
20	11	0	0	0	0	26788.9	30
17	19	0	0	0	0	35543.8	31
16	17	0	0	0	0	24482.6	32
16	17	0	0	0	0	26391.3	33
19	10	0	0	0	0	26585.3	34
17	17	0	0	0	0	34035.8	35
15	11	0	0	0	0	23024.9	36
10	13	0	0	0	0	29437.0	37
15	16	0	0	0	0	26265.2	38
16	13	0	0	0	0	20639.8	39
6	16	0	0	0	0	31758.5	40
19	19	0	0	0	0	36153.8	41
15	15	0	0	0	0	20467.2	42
16	8	0	0	0	0	34993.1	43
17	12	0	0	0	0	23261.1	44
11	13	0	0	0	0	36927.2	45
12	13	0	0	0	0	29152.8	46
16	16	0	0	0	0	29221.6	47
20	19	0	0	0	0	39133.0	48
18	20	0	0	0	0	32955.4	49
18	17	0	0	0	0	29037.8	50
9	23	0	0	0	0	30530.3	51
15	19	0	0	0	0	22759.1	52
17	19	0	0	0	0	31201.7	53
21	18	0	0	0	0	39140.8	54
